year,start_ts,end_ts,yield,yield_x1,yield_x2,yield_x3,yield_x4,kWh_x1,kWh_x2,kWh_x3,kWh_x4,depr_panel,depr_battery,n_panel,n_battery,grid_amp,grid_volt,spot_min,spot_max,spot_mean,spot_std,pv_kWh_min,pv_kWh_max,pv_kWh_mean,pv_kWh_std
2021,2021-03-11 12:00:00,2021-03-12 23:00:00,41.41,62.65,0.0,0.0,-0.0,286.93,37.33,0.0,0.0,21.24,0.0,100,9,63,400,119.13,392.94,223.89,64.79,0.0,0.75,0.17,0.25
2021,2021-12-31 12:00:00,2021-12-31 23:00:00,-3.8,3.28,0.0,0.0,-0.0,8.62,0.0,0.0,0.0,7.08,0.0,100,9,63,400,221.3,781.32,422.89,198.16,0.0,0.06,0.01,0.02
2021,2021-07-28 12:00:00,2021-07-29 23:00:00,105.23,96.05,0.0,88.69,2.79,274.17,81.54,153.43,76.63,21.24,61.07,100,9,63,400,-65.9,706.01,374.37,212.58,0.0,0.7,0.16,0.21
2021,2021-04-20 12:00:00,2021-04-21 23:00:00,158.09,154.93,0.0,64.31,-0.0,368.38,103.37,100.26,0.0,21.24,39.91,100,9,63,400,200.93,756.48,461.06,138.69,0.0,0.65,0.18,0.21
2021,2021-01-20 12:00:00,2021-01-21 23:00:00,29.63,50.77,0.0,2.22,-0.0,193.39,26.37,5.31,0.0,21.24,2.11,100,9,63,400,148.53,417.64,247.52,57.42,0.0,0.52,0.09,0.16
2021,2021-12-07 12:00:00,2021-12-08 23:00:00,226.88,123.18,0.0,227.36,-60.87,60.69,17.91,104.4,89.71,21.24,41.55,100,9,63,400,491.36,2709.38,1477.56,624.59,0.0,0.36,0.03,0.08
2021,2021-07-07 12:00:00,2021-07-08 23:00:00,409.96,345.38,0.0,140.99,-0.0,429.59,142.92,138.63,0.0,21.24,55.17,100,9,63,400,591.1,1115.42,809.47,134.7,0.0,0.64,0.23,0.25
2021,2021-03-13 12:00:00,2021-03-14 23:00:00,20.83,41.37,0.0,10.73,-0.0,195.17,29.71,25.2,0.0,21.24,10.03,100,9,63,400,192.22,425.94,239.59,56.89,0.0,0.57,0.08,0.14
2021,2021-11-08 12:00:00,2021-11-09 23:00:00,218.62,155.09,0.0,188.57,-55.93,178.97,58.44,120.26,65.54,21.24,47.86,100,9,63,400,48.2,2230.51,947.68,605.11,0.0,0.48,0.09,0.15
2021,2021-10-21 12:00:00,2021-10-22 23:00:00,67.64,48.11,0.0,124.95,-9.67,138.76,66.78,187.22,126.22,21.24,74.51,100,9,63,400,18.6,697.1,305.84,240.84,0.0,0.57,0.08,0.14
2021,2021-06-15 12:00:00,2021-06-16 23:00:00,198.57,191.37,0.0,54.58,-0.0,318.16,67.7,65.67,0.0,21.24,26.14,100,9,63,400,496.43,877.82,635.37,98.65,0.0,0.74,0.15,0.19
2021,2021-02-16 12:00:00,2021-02-17 23:00:00,76.32,89.83,0.0,39.26,-0.0,223.72,81.65,79.2,0.0,21.24,31.52,100,9,63,400,278.14,624.02,407.19,97.93,0.0,0.71,0.13,0.22
2021,2021-11-09 12:00:00,2021-11-10 23:00:00,181.15,74.28,0.0,165.53,-2.36,94.33,9.17,88.09,81.65,21.24,35.06,100,9,63,400,28.34,2194.09,820.55,658.66,0.0,0.41,0.04,0.1
2021,2021-01-03 12:00:00,2021-01-04 23:00:00,36.56,56.9,0.0,4.97,-0.0,164.29,10.56,10.24,0.0,21.24,4.08,100,9,63,400,177.69,485.3,291.78,109.32,0.0,0.39,0.06,0.13
2021,2021-05-05 12:00:00,2021-05-06 23:00:00,152.95,154.56,0.0,78.22,-0.0,393.85,151.77,147.22,0.0,21.24,58.59,100,9,63,400,270.52,633.98,408.63,110.97,0.0,0.69,0.22,0.25
2021,2021-09-28 12:00:00,2021-09-29 23:00:00,132.33,90.71,0.0,239.23,-111.97,83.0,23.95,161.84,142.89,21.24,64.41,100,9,63,400,472.09,1762.36,1042.38,317.64,0.0,0.14,0.04,0.05
